      Date      Rain       PET      actE    ExcSur    ExcBas    Excess    StoSur    StoBas   Storage        WU        WL        WD    Runoff     PmaxC     Gauge  EOL
                mm/h      mm/h      mm/h      mm/h      mm/h      mm/h      mm/h      mm/h      mm/h         %         %         %      mm/h     m^3/s     m^3/s  EOL
2009010100     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    39.870    40.000    40.000     0.000     0.000     0.000  EOL
2009010103     0.011     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    39.616    40.000    40.000     0.000     0.000     0.000  EOL
2009010106     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    39.369    40.000    40.000     0.000     0.000     0.000  EOL
2009010109     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    39.100    40.000    40.000     0.000     0.000     0.000  EOL
2009010112     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    38.835    40.000    40.000     0.000     0.000     0.000  EOL
2009010115     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    38.559    40.000    40.000     0.000     0.000     0.000  EOL
2009010118     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    38.291    40.000    40.000     0.000     0.000     0.000  EOL
2009010121     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    38.026    40.000    40.000     0.000     0.000     0.000  EOL
2009010200     0.003     0.072     0.072     0.000     0.000     0.000     0.000     0.000     0.000    37.758    40.000    40.000     0.000     0.000     0.000  EOL
2009010203     0.015     0.072     0.072     0.000     0.001     0.001     0.000     0.001     0.001    37.522    40.000    40.000     0.000     0.000     0.000  EOL
2009010206     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    37.285    40.000    40.000     0.000     0.000     0.000  EOL
2009010209     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    37.009    40.000    40.000     0.000     0.000     0.000  EOL
2009010212     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    36.742    40.000    40.000     0.000     0.000     0.000  EOL
2009010215     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    36.474    40.000    40.000     0.000     0.000     0.000  EOL
2009010218     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    36.205    40.000    40.000     0.000     0.000     0.000  EOL
2009010221     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    35.937    40.000    40.000     0.000     0.000     0.000  EOL
2009010300     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    35.666    40.000    40.000     0.000     0.000     0.000  EOL
2009010303     0.009     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    35.411    40.000    40.000     0.000     0.000     0.000  EOL
2009010306     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    35.158    40.000    40.000     0.000     0.000     0.000  EOL
2009010309     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    34.889    40.000    40.000     0.000     0.000     0.000  EOL
2009010312     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.001     0.001    34.621    40.000    40.000     0.000     0.000     0.000  EOL
2009010315     0.016     0.072     0.072     0.000     0.000     0.000     0.000     0.002     0.002    34.379    40.000    40.000     0.000     0.000     0.000  EOL
2009010318     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.002     0.002    34.143    40.000    40.000     0.000     0.000     0.000  EOL
2009010321     0.001     0.072     0.072     0.000     0.000     0.000     0.000     0.002     0.002    33.875    40.000    40.000     0.000     0.000     0.000  EOL
2009010400     0.004     0.072     0.072     0.000     0.000     0.000     0.000     0.002     0.002    33.618    40.000    40.000     0.000     0.000     0.000  EOL
2009010403     0.029     0.072     0.072     0.000     0.001     0.001     0.000     0.003     0.003    33.401    40.000    40.000     0.000     0.000     0.000  EOL
2009010406     0.001     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    33.187    40.000    40.000     0.000     0.000     0.000  EOL
2009010409     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    32.922    40.000    40.000     0.000     0.000     0.000  EOL
2009010412     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    32.654    40.000    40.000     0.000     0.000     0.001  EOL
2009010415     0.009     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    32.399    40.000    40.000     0.000     0.000     0.001  EOL
2009010418     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    32.148    40.000    40.000     0.000     0.000     0.001  EOL
2009010421     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    31.876    40.000    40.000     0.000     0.000     0.001  EOL
2009010500     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    31.609    40.000    40.000     0.000     0.000     0.001  EOL
2009010503     0.005     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    31.349    40.000    40.000     0.000     0.000     0.001  EOL
2009010506     0.000     0.072     0.072     0.000     0.000     0.000     0.000     0.003     0.003    31.091    40.000    40.000     0.000     0.000     0.001  EOL
